
# time  N22        N23        
    0.        629.4861n  629.4852n 
    6.21000p  699.1662m    9.0244m 
    6.22000p  699.1801m    8.9302m 
    6.23000p  699.1939m    8.8359m 
    6.24000p  699.2077m    8.7417m 
    6.25000p  699.2215m    8.6474m 
    6.26000p  699.2353m    8.5532m 
    6.27000p  699.2491m    8.4590m 
    6.28000p  699.2629m    8.3647m 
    6.29000p  699.2768m    8.2705m 
    6.30000p  699.2906m    8.1762m 
    6.31000p  699.3044m    8.0820m 
    6.32000p  699.3182m    7.9878m 
    6.33000p  699.3320m    7.8935m 
    6.34000p  699.3458m    7.7993m 
    6.35000p  699.3597m    7.7050m 
    6.36000p  699.3735m    7.6108m 
    6.37000p  699.3873m    7.5166m 
    6.38000p  699.4011m    7.4223m 
    6.39000p  699.4149m    7.3281m 
    6.40000p  699.4287m    7.2338m 
    6.41000p  699.4426m    7.1396m 
    6.42000p  699.4564m    7.0454m 
    6.43000p  699.4702m    6.9511m 
    6.44000p  699.4840m    6.8569m 
    6.45000p  699.4978m    6.7626m 
    6.46000p  699.5116m    6.6684m 
    6.47000p  699.5255m    6.5741m 
    6.48000p  699.5393m    6.4799m 
    6.49000p  699.5531m    6.3857m 
    6.50000p  699.5669m    6.2914m 
    6.51000p  699.5807m    6.1972m 
    6.52000p  699.5945m    6.1029m 
    6.53000p  699.6084m    6.0087m 
    6.54000p  699.6222m    5.9145m 
    6.55000p  699.6360m    5.8202m 
    6.56000p  699.6498m    5.7260m 
    6.57000p  699.6636m    5.6317m 
    6.58000p  699.6774m    5.5375m 
    6.59000p  699.6913m    5.4433m 
    6.60000p  699.7051m    5.3490m 
    6.61000p  699.7189m    5.2548m 
    6.62000p  699.7327m    5.1605m 
    6.63000p  699.7465m    5.0663m 
    6.64000p  699.7602m    4.9728m 
    6.65000p  699.7618m    4.9472m 
    6.66000p  699.7635m    4.9215m 
    6.67000p  699.7651m    4.8958m 
    6.68000p  699.7667m    4.8701m 
    6.69000p  699.7683m    4.8444m 
    6.70000p  699.7700m    4.8187m 
    6.71000p  699.7716m    4.7930m 
    6.72000p  699.7732m    4.7673m 
